county,lat,lng,state
Dickinson County,38.8790615,-97.1893341,Kansas
Martin County,32.2675039,-101.9190317,Texas
Rural Fairfax County,38.8462236,-77.3063733,District Of Columbia
Manitou County,42.796436,-83.250817,Michigan
Kent County,33.1665316,-100.7846477,Texas
Skagway Municipality,59.6226362,-135.4094368,Alaska
Richmond city,37.5289588,-77.4381069,Virginia
Cleburne County,35.5298937,-92.0312818,Arkansas
Harrison County,39.2820223,-80.3789878,Virginia
Fort Sisseton County,45.657072,-97.5337432720688,Dakota
Madison County,37.7298081,-84.2974735,Kentucky
Southampton County,36.6959378,-77.1586002,Virginia
Delta County,46.0236602,-86.8950252,Michigan
Comanche County,31.9130171,-98.527388,Texas
Volusia County,29.0533409,-81.1310761,Florida
George County,30.857421,-88.6537118,Mississippi
Roane County,38.6943369,-81.3366149,Virginia
Conway County,35.2521996,-92.6888936,Arkansas
Monroe County,43.9416755,-90.6397264,Wisconsin
Parker County,32.7599475,-97.7935767,Texas
Rockwall County,32.8923464,-96.4066987,Texas
Dyer County,36.0526084,-89.4171552,Tennessee
Lauderdale County,32.3905206,-88.689636,Mississippi
Bedford County,35.5099479,-86.4507189,Tennessee
Lake County,44.0188394,-97.1267291,South Dakota
Hertford County,36.3560545,-77.0115135,North Carolina
Benton County,34.8277278,-89.1960486,Mississippi
St. Bernard Parish,29.8217562,-89.6008692,Louisiana
Campbell County,37.2158191,-79.1165953,Virginia
Bulloch County,32.3846338,-81.744832,Georgia
LaGrange County,41.6372578,-85.4216948,Indiana
Tippah County,34.7296814,-88.9119403,Mississippi
Simpson County,36.73518,-86.5780102,Kentucky
Bertie County,36.0608505,-76.9747965,North Carolina
McHenry County,48.1907427,-100.65378,Dakota
Roanoke city,37.2529158,-79.9093813,Virginia
Jackson County,34.1282559,-83.5753386,Georgia
Allendale County,32.9635006,-81.3400056,South Carolina
Boulder County,40.102555,-105.3632079,Colorado
Delaware County,42.4663805,-91.3621282,Iowa
Union Parish,32.8385899,-92.3910295,Louisiana
Rooks County,39.3494127,-99.3216587,Kansas
Juneau City and Borough,58.3019496,-134.419734,Alaska
Delaware County,40.2317686,-82.9651045,Ohio
Hall County,34.2905901,-83.8194028,Georgia
Barry County,42.5910739,-85.3242417,Michigan
Niagara County,43.2042439,-78.7676017,New York
Chesterfield County,37.3859982,-77.578509,Virginia
Patillas Municipio,18.0058189,-66.0144865,Puerto Rico
Gallatin County,45.4868491,-111.1967693,Montana
Wilkes County,36.1998247,-81.1341351,North Carolina
Franklin County,38.2520423,-84.8633812,Kentucky
Custer County,43.6726477,-103.5101597,South Dakota
Iberville Parish,29.9571086,-90.0726869,Orleans
Wells County,40.7013353,-85.2116102,Indiana
Scott County,41.6251843,-90.6164201,Iowa
Huntington County,40.8008286,-85.5018494,Indiana
Louisa County,37.9854441,-77.9486307,Virginia
Jefferson County,43.8010248,-112.3498022,Idaho
Detroit District,42.3595105,-83.0645258624998,Michigan
Union County,39.6196086,-84.9292376,Indiana
Jackson County,42.2416466,-84.425589,Michigan
Marshall County,39.7865054,-96.5255661,Kansas
Oconto County,44.9988053,-88.2480072,Wisconsin
Wood County,41.2776661,-83.6643025,Ohio
Schleicher County,30.8791222,-100.5418961,Texas
Ford County,37.7072469,-99.8943146,Kansas
Saline County,39.1256186,-93.2300648,Missouri
Billings County,47.0456305,-103.3943708,Dakota
Lincoln County,43.2724187,-96.7387762,South Dakota
Pushmataha County,34.4098497,-95.4033122,Oklahoma
Gadsden County,30.5937346,-84.6389937,Florida
Lyon County,36.9981232,-88.0658149,Kentucky
Twiggs County,32.6467914,-83.4351636,Georgia
Boone County,40.0459913,-86.4650842,Indiana
Missaukee County,44.336979,-85.1070535,Michigan
St. Tammany Parish,30.4243909,-89.9730381,Louisiana
Cooper County,38.8452595,-92.8249579,Missouri
Lycoming County,41.3472688,-77.0220348,Pennsylvania
Walworth County,45.4043853,-100.0072972,Dakota
Brooks County,26.9879856,-98.2071041,Texas
Marion County,29.2182454,-82.0626948,Florida
Elmore County,43.3073766,-115.5411027,Idaho
Grundy County,42.4132701,-92.7808666,Iowa
Lee County,36.6841272,-83.0973211,Virginia
Greene County,39.672741,-83.971348,Nebraska
Roberts County,35.8309752,-100.8058034,Texas
Aguada Municipio,-11.2050936,-67.0507605,Puerto Rico
Otero County,37.8872079,-103.7415268,Colorado
Beckham County,35.2496723,-99.6946079,Oklahoma
